Input	Input_source	Output	Output_source
C01179	KEGG	CHEBI:36242	ChEBI
C12456	KEGG	CHEBI:74408	ChEBI
C16198	KEGG	CHEBI:18814	ChEBI
C00940	KEGG	CHEBI:16769	ChEBI
C00109	KEGG	CHEBI:16763	ChEBI
C03771	KEGG	CHEBI:18253	ChEBI
C01110	KEGG	CHEBI:17572	ChEBI
C03465	KEGG	CHEBI:28654	ChEBI
C00671	KEGG	CHEBI:35146	ChEBI
C00233	KEGG	CHEBI:17865	ChEBI
C02132	KEGG	CHEBI:15360	ChEBI
C00902	KEGG	CHEBI:35177	ChEBI
C00869	KEGG	CHEBI:17162	ChEBI
C00596	KEGG	CHEBI:11641	ChEBI
C00966	KEGG	CHEBI:11561	ChEBI
C04237	KEGG	CHEBI:53338	ChEBI
C14463	KEGG	CHEBI:49257	ChEBI
C06762	KEGG	CHEBI:53800	ChEBI
C01180	KEGG	CHEBI:16723	ChEBI
C00058	KEGG	CHEBI:15740	ChEBI
C02403	KEGG	CHEBI:28868	ChEBI
C02403	KEGG	CHEBI:28868	ChEBI
C04114	KEGG	CHEBI:17237	ChEBI
C00804	KEGG	CHEBI:15364	ChEBI
C07289	KEGG	CHEBI:14030	ChEBI
C04672	KEGG	CHEBI:36438	ChEBI
C01595	KEGG	CHEBI:30245	ChEBI
C16321	KEGG	CHEBI:60962	ChEBI
C19616	KEGG	CHEBI:78424	ChEBI
C01530	KEGG	CHEBI:25629	ChEBI
C03195	KEGG	CHEBI:15683	ChEBI
C06424	KEGG	CHEBI:30807	ChEBI
C08281	KEGG	CHEBI:23858	ChEBI
C03049	KEGG	CHEBI:11320	ChEBI
C04103	KEGG	CHEBI:36487	ChEBI
C01607	KEGG	CHEBI:37257	ChEBI
C02982	KEGG	CHEBI:18164	ChEBI
C00154	KEGG	CHEBI:15525	ChEBI
C00154	KEGG	CHEBI:15525	ChEBI
C05258	KEGG	CHEBI:27402	ChEBI
C05259	KEGG	CHEBI:15491	ChEBI
